,id,text,date,index,author,im_url,platform,sampleSource,label,Comments
27,47555,"n negatieve symboliek er achter zit. Het arrogante gedrag van de regering, die geen kritiek accepteerd komt hier duidelijk naar voren. Het klieken gedrag is overduidelijk. Jammer, jammer jammer. Het is toch erg duidelijk wat voor een rottend vlees Nederland in zijn Kuip heeft zitten. HET WORDT ECHT TIJD DAT ZIJ OPHOEPELEN.  ZIJ KOMEN ONS WERLEIJK DE STROT UI",2022-09-23,9382009,1474236482,,Telegram,random,Niets,
28,47556,"://www.gelderlander.nl/nijmegen/coronacrisis-vergelijkbaar-met-de-tweede-wereldoorlog-het-kan-ons-blijvend-veranderen~a027d428/  U ziet, mevrouw Bergkamp, de - volgens u en de kamer - extreem rechtse hersenspinsels van Gideon van Meijeren zijn in werkelijkheid maatschappelijk breed gedragen discussiepunten, waarin zelfs de zogenaamde geleerden de vergelijkin",2021-09-11,2864712,1474236482,,Telegram,random,Niets,
29,47557,ik was vanavond maaldtijden aan het bezorgen op de ic voor de personeel ik moest mijn telefoon inleveren bij de beveiliging en ik had een spy camera bij en zo de ic kunnen foto's kunnen maken en hoop kamers waren leeg we worden keihard voor gelogen en bedrogen door Mark rutte en Hugo de jong en bende,2021-10-15,3456486,1580327979,,Telegram,random,Niets,
30,47558,@rwesthoek @Jinek_RTL @FleurAgemaPVV Wellicht kunt u met cijfers en feiten aangeven waarom de immigranten voor de overbelasting en kosten zorgen? Welk percentage is dat dan?,2021-11-04,13845873,sapper0001,,Twitter,random,Niets,
31,47559,"WILLEN WIJ BLIJVEN. ALS VRIJE NEDERLANDER HEBBEN ZIJ NIETS OVER U TE ZEGGEN. HET IS KLAAR, ALS ZIJ BRUTAAL WORDEN DAN GAAN ZIJ IN LOCKDOWN EN NIET WIJ...... GTB.",2022-05-20,7544045,912237654,,Telegram,random,Niets,
32,47560,"t stoppen en er nieuwe verkiezingen moeten worden uitgeschreven!                            Op de lijst van namen van mensen die aan het EF zijn gelieerd, staan ook mensen die de belangen van Nederland moeten behartigen, staan ook verschillende namen die in het Kabinet vertegenwoordigd zijn, maar ook hun criminale daden , begaan met de """"""""""""""""het hoofd""""""""""""""""van d",2022-09-21,9356815,1538977372,,Telegram,keywords,Elite-complot#Niets,
33,47561,@woukevscherrenb Kaag en Rutte. Heerlijk gekonkel. Hoezo Nieuw Leiderschap...,2021-04-07,5698114,HarryKeizer,,Twitter,random,Niets,
34,47562,"aak tegen Hillary. Zij werd een baan beloofd in de Supreme Court.  Zij rusten in vrede... mocht U nog iets van hen horen, dan zijn dat strategisch ingezette dubbelgangers door de Q forces.  NU DE COVID KILLERMACHINE. VOOR ELKE GEMELDE COVID  DODE KREGEN DE HOSPITAALS in de US  ca.100.000 US $. Het linke daarvan was, dat er werd geschat hoeveelpatienten dat z",2022-05-05,7302695,1056217135,,Telegram,random,Dehumaniserend#Elite-complot,
35,47563,@lientje1967 @FleurAgemaPVV @NCTV_NL Ach sociale controle. We moeten er straks allemaal aan gaan geloven als Kuipers tekent in mei. Waar is jullie weerstand?????? Praten is al lang voorbij!,2022-03-15,22055578,WorldEtoile,,Twitter,random,Niets,
36,47564,"@EdwinIsWakker @Berkie_B @NOS @thierrybaudet Minus """"""""dan"""""""". Ik keur het sowieso af.",2022-01-05,17454449,Lennert_vd_Boom,,Twitter,random,Niets,
37,47565,@Donerd @PietLekkerkerk Rutte met Omvolking bezig????,2022-05-14,25279696,Paul17226161,,Twitter,keywords,Niets,
38,47566,@Atilos_5 @MinPres Hij is één van de uitverkorene....volgens de elite/WEF. Voelt zich zo verheven. Denkt vast dat hij een prachtig plekje in de nieuwe wereld krijgt.,2021-10-06,12621730,Suus19084263,,Twitter,keywords,Elite-complot#Niets,
39,47567,"@DongaMaurits @HillyLucassen @thierrybaudet De enige die leugens vertellen zijn Rutte Kaag, de Jong, grappenhaus enz",2021-04-13,5949886,HuibjanM,,Twitter,random,Niets,
40,47568,"@VanZuchteIen @lientje1967 @BoerBurgerB @BBBZeeland @BBBFlevoland Ach ja een politiek tegenstander voor fascist uitmaken is een bekende techniek van communisten. Wat is je vervolgstap? Goelag, concentratiekamp?",2022-08-15,31160546,HBadger16,,Twitter,keywords,Niets,
41,47569,"tie te nemen. Als ik dit hardop uitspreek, word ik uitgemaakt voor complotdenker, viruswaanzinnige of koekwaus en word ik geacht een aluhoedje op te zetten.  Ik vind dat overigens helemaal niet erg. Een groep juristen (waaronder Arno) doet op dit moment - in opdracht van de stichting Artsen voor Waarheid - onderzoek naar de coronapandemie en zij hebben schok",2021-02-26,503514,1146360063,,Telegram,keywords,Niets,
42,47570,Dat klopt.. maar als iemand aan mijn deur staat en aangeeft jij hebt voor Rutte gestemt wil ik graag meewerken... want dat klopt niet,2021-09-08,2827547,760932829,,Telegram,random,Niets,
43,47571,"hoogte gebracht in het onderwijs? Waarom heet ons scholingsprogramma het onder-wijs en niet boven-wijs? Ik heb ontdekt dat de bevolking bewust arm en vooral dom is gehouden.   Maar het gaat komen, linksom of rechtsom. Maar het heeft een beetje tijd nodig omdat bepaalde gebeurtenissen zich nu eerst moeten manifesteren op onze tijdlijn om het roer om te kunnen",2022-05-24,7596353,1380789070,,Telegram,random,Niets,Waarom heet ons scholingsprogramma het onder-wijs en niet boven-wijs
44,47572,"@SigridKaag Hele weekend over na kunnen denken......of ben je een wappie als je deze uitleg niet gelooft, Omtzigt is gewoon vervelend voor jullie dus wil ook D66 van hem af...nieuw leiderschap in een verdomd oud jasje😏",2021-03-29,4967974,HansJacobs15,,Twitter,keywords,Niets,
45,47573,"Rutte over nationale asielcrisis: ‘Dit is om je te schamen, straks liggen mensen in het grasveld’ | Politiek | AD.nl https://www.ad.nl/politiek/rutte-over-nationale-asielcrisis-dit-is-om-je-te-schamen-straks-liggen-mensen-in-het-grasveld~a5eb19f1/",2022-06-17,7911144,1567898294,,Telegram,random,Niets,
46,47574,"‼️ TURKIJE STAAT OP Z'N KOP NA DE OPENBARENDE INTERVIEWS VAN IRFAN AYDIN EN NESET TEMIRCI ‼️  Openbarende video van Neset Temirci over het nep Koningshuis en corrupte mensen op topfuncties in Nederland, zoals Mark Rutte en Dick Schoof.  Mark Rutte is directielid van het bedrijf de """"""""""""""""Staat der Nederlanden"""""""""""""""".  Dick Schoof is momenteel directeur-generaal va",2021-09-15,2926865,1887360205,,Telegram,random,Dehumaniserend#Elite-complot,
47,47575,"@sjaak_scheele @Veldhorst__W @SanderSchimmelp @TheDoc96836335 @veen_els Volgens CBS zijn er onder 10 jaar Rutte bijna 1 MILJOEN niet westerse immigranten binnen gelaten  1 miljoen...zo moeilijk is het blijkbaar niet om in """"""""fort Europa"""""""" te komen",2022-05-20,25749082,Benjamin___Ben,,Twitter,random,Niets,
48,47576,"n ze er luchtig over. we hebben het over brieven, juridisch bindende afspraken en een hoop betaald belastinggeld.. en waarvoor?? de great reset van schwab is niet leuk voor de mensen onderaan!!",2021-12-22,4906981,820315334,,Telegram,random,Elite-complot#Niets,
49,47577,"Niet Dwingen , Niet stelen, Niet doden. Artikel 1: Gelijke behandeling en discriminatieverbod. Dat is de wetgeving Hier merk ik niets van terug van afgelopen jaren. @jeadvocaat @Belastingdienst @PieterOmtzigt @RenskeLeijten @mptoeslagen @AvHuffelen @pieterkleinrtl @F_azarkan https://t.co/tJSE3HrjXv",2021-10-15,12975874,sharonwillemsen,,Twitter,random,Niets,
50,47578,"ermogende en meer verdienende minderheid onder een nieuwe regering verder stijgen.  Daaraan ontsnappen is nauwelijks mogelijk. Wie weigert te betalen wordt in het ergste geval gevangen gezet. Dit is waartoe een meerderheid van de Nederlanders zich, in het opinieonderzoek, blijkbaar bekent. Als meerderheid het staatsmonopolie op belastingen inzetten om een mi",2021-01-24,192551,1390936433,,Telegram,random,Niets,
51,47579,"@sjonniedeluxe @GerritHiemstra @gjcats @danielkoerhuis Hoe deze verdeling is weet ik niet, dat er verschillen daarin zijn lijkt mij meer dan logisch, maar wat ik wel lees/hoor dat de industrie, dienstverlening, zorg, etc. in Nederland op zoek zijn naar personeel=te kort komen. Als jij gebieden weet waar dit niet is, laat het weten.",2022-05-04,24305247,Admidi_Martin,,Twitter,random,Niets,
52,47580,"mons, S.H. (BIJ1) Sjoerdsma, S.W. (D66) Smals, B.M.G. (VVD) Sneller, J.C. (D66) Staaij van der, C.G. (SGP) Strien van, P.J.T. (VVD) Strolenberg, M.F. (VVD) Tellegen, O.C. (VVD) Teunissen, C. (PvdD) Tielen, J.Z.C.M. (VVD) Valstar, P.J. (VVD) Verkuijlen, R. (VVD) Vries de, A. (Aukje) (VVD) Wassenberg, F.P. (PvdD) Werf van der, J.J. (D66) Werner, L.M. (CDA) Wes",2021-12-11,4683552,1380789070,,Telegram,random,Niets,
53,47581,@Lisawesterveld @KoenSteeman @mvanmartijn @HenkTerHaar @Paul_van_Meenen Kunnen we wel gezellig samen met de trein!,2021-10-07,12683309,FemkevanH,,Twitter,random,Niets,
54,47582,@fvdemocratie @GideonvMeijeren Doel gehaald: ze hebben weer een filmpje.,2022-09-16,33554453,GerritASmit,,Twitter,random,Niets,
55,47583," deze 3 laatsten leven nog, ze hadden hun eigen doodsscenario geschreven!).  Binnenkort zult U getuige zijn van deze Openbaringen!  Daarom heet het ook: """"""""""""""""THE GREAT AWAKENING""""""""""""""""  Op 4 maart 2021 zullen diverse sprekers te horen zijn, waaronder Trump, JFK (Junior) en Michael Jackson, (Ja, deze laatste 2 leven nog!). Met speciale gasten: Carolyn Bessette-Ke",2021-01-28,234070,1295727135,,Telegram,keywords,Elite-complot#Niets,
56,47584,@Vera_Bergkamp Sterkte &amp; het is wel interessant om te zien wie de reserve kamer voorzitter is.,2022-02-16,20257800,HeartBeatsCare,,Twitter,random,Niets,
57,47585,"cht als 'poltergeist' waar we ook opnames van hebben gezien.  We hebben gehoord dat Pedofielen en KM op de dodenlijst staan, dan kunnen we verwachten dat er veel opgeruimd gaat worden door deze speciale troepen.  SHAEF heeft de verplichting naar de bevolking van Europa, omdat zij de geallieerden zijn die de oorlog hebben gewonnen en de wetten hebben gedictee",2022-07-04,8202363,1543804949,,Telegram,keywords,Dehumaniserend#Elite-complot,
58,47586,@lisannewichgers Voor een dokter in de politieke communicatie en journalistiek ben je wel ongelooflijk dom. Je hebt blijkbaar geen benul van de geschiedenis van met name het communisme. Uit het feit dat jij te weinig kennis hebt om Baudet te begrijpen kan je niet concluderen dat hij verkoopt.,2022-09-22,34167081,erik_ruijter,,Twitter,random,Niets,
59,47587,Robje Jetten kan snel lopen als ik hem interview.,2021-07-14,2072713,1411896058,,Telegram,random,Niets,
60,47588,@geertwilderspvv Ongelofelijk wat een boerenlul ben je Jesse hoezo een democratische regering. Dit is het toppunt van polariseren. Je bent ook zo een landverrader aan de WEF.,2022-02-28,21068473,JoeJoeB20999440,,Twitter,keywords,Elite-complot#Niets,
61,47589,"WE KRIJGEN STEEDS MEER INZICHTEN 🙏🙏🙏  'Controlled opposition' & verdeeldheid in de Demo-wereld, zijn dit terechte of onterechte beschuldigingen?  Kafka schreef hierover het volgende onder de video:  Mensen als Willem Engel, Frank Ruesink, Mordechai Krispijn, Michel Reijinga, Café Weltschmerz, Blue Tiger studio & zelfs Thierry Baudet worden door een klein gro",2022-01-07,5220407,1481506485,,Telegram,random,Elite-complot#Niets,
62,47590,"@lientje1967 Hèhè fijn dat je daar even het goede voorbeeld geeft!!! Regels lijken alleen maar te gelden voor het klootjesvolk... ik zie nog de verkiezingsuitslagfeestjes.  Lekker veel bij elkaar,  omhelzen, feesten en dat allemaal zonder mondkapje.  Zo klaar met die Haagse kliek.",2021-03-25,4744404,moonaaa,,Twitter,keywords,Niets,
63,47591,zware vrachtwagens met diepladers klaarstaan zodat in beslag genomen tractoren kunnen worden afgevoerd.   Eerder deze week heeft de krijgsmacht de politie ook al op deze wijze ondersteund.   https://www.telegraaf.nl/nieuws/544759007/minister-ollongren-defensie-staat-klaar-om-schiphol-te-helpen,2022-07-02,8154268,1471525292,,Telegram,random,Niets,
64,47592,"@THiddema @JanDriessen @HaagseInsider Baudet en Forum zijn transparant en benoemen de echte issues rondom COVID beleid. Wat een verademing in een zee van hypocriete, fingerpointing en spugende Kartel politici nav het Kaag voorval. Bedenk,het zijn juist Rutte cs die een deel van de samenleving bedreigen en uitsluiten.",2022-01-06,17491451,JdeWittvanOldeB,,Twitter,random,Niets,
65,47593,Ik ga die video niet kijken dan kan ik niet slapen van de duivel met ze reageerbuis dochter Kaag,2022-03-08,9869884,1555441307,,Telegram,random,Demoniserend,
66,47595,Ik fyn it stom dat der gjin lûd is op npo politiek. Eins soe no Jack van Gelder efkes los gean moatte. #bergkamp,2021-04-07,5750346,thaeke,,Twitter,random,Niets,
67,47596,Hoe serieus neem je het klimaat als je een plastic dekseltje op je coffee-to-go hebt? #rutte in #beau.  #nooitmeervvd,2022-05-13,25203964,YvonneIlling,,Twitter,random,Niets,
68,47597,"ar de vijand nog verslaan...en ook nog zo, dat je nog 50.000 kinderen er levend moet uithalen, die als schilden en sex slaven gebruikt werden. En als je achterom kijkt, hoe gesmeerd de corona campagne twee jaren feilloos heeft gedraaid, zonder oppositie, maar met medewerking van alle cabal regeringen, die omgekocht zijn geworden. Allemaal vijanden, die tegen",2022-08-26,9004552,1690932990,,Telegram,keywords,Dehumaniserend#Elite-complot,
69,47598,Filmpje! Jesse Klaver (GroenLinks) zij aan zij met Lilianne Ploumen (PvdA): ‘Het vertrouwen en plezier is groot’  https://www.dagelijksestandaard.nl/2021/08/filmpje-jesse-klaver-groenlinks-zij-aan-zij-met-lilianne-ploumen-pvda-het-vertrouwen-en-plezier-is-groot/,2021-08-22,2590898,1489527752,,Telegram,random,Niets,
70,47599,Het WEF maakte het plan en regime Rutte startte met uitvoeren.  Chaos creëren. De buitenproportionele corona maatregelen waren het startschot. Stijgende benzine en energie prijzen. Het trachten te blokkeren van cash geld. Het neerslaan van demonstranten. Kapotte betaal automaten. Inflatie. Een stikstof hoax. Personeelstekort Schiphol. Het inkrimpen van de vi,2022-07-02,8162086,1520528779,,Telegram,random,Elite-complot#Niets,
71,47600," en Verplichting van de Vrijmetselarij om de wereld te bevrijden van de """"""""""""""""plaag van de Mensheid"""""""""""""""". Maar op het persoonlijke vlak delen hij en ik een passie voor hetzelfde exotische gerecht dat geserveerd wordt in L'emince de Veau in Geneve: Crème van kolibriesoep gevolgd door elandtong. We zijn allebei fan van chef Gaston Sere de Rivieres, die een culina",2021-08-02,2312664,1193616013,,Telegram,random,Elite-complot#Niets,
72,47601,@moerra45 @Buitenbeen1 @DenkNL Allah bestaat niet.,2022-04-20,23783217,fl_bart,,Twitter,random,Niets,
73,47602,"🔥🔥 Heel heftig debat waarbij Gideon van Meijeren het heeft over ambtsmisdrijven, gepleegd door de regering. 🔥🔥 Hier wordt heel heftig op gereageerd door verschillende Tweede Kamerleden. Kan hij met bewijzen komen?  Bergkamp grijpt in..... Gideon zegt dat zoiets aan de rechter is.  Pieter Omtzigt staat erop dat van Meijeren concreter wordt.  Van Meijeren denk",2021-12-05,4559943,1298897139,,Telegram,keywords,Niets,
74,47603,@dirk_hoekstra Ja he? Mijn kleinkinderen hebben allebei diploma C maar is echt geen zekerheid dat ze het zouden redden.,2022-07-22,29928532,WillemijnNatuur,,Twitter,random,Niets,
75,47604,@PvdA Want zorgmedewerkers leveren extra stemmen op!! Er zijn veel meer mensen die extra geld moeten krijgen omdat ze de poten uit hun lijf lopen. Net als zorgmedewerkers. Maar staan minder in de publiciteit en dus niet interessant voor de hypocriete pvda. Schaam je.,2021-02-03,1400286,Erikkoopen,,Twitter,random,Niets,
76,47605,@pascalbom @GideonvMeijeren Deze @GideonvMeijeren  is de BAAS!  Nieuwe ministerpresident is opgestaan!   HELD met normen en waarden en visie!  Kartel opflikkeren en wel NU!  @GideonvMeijeren @thierrybaudet @fvd @coronadebat @MinPres,2021-07-14,9208925,Cover2412,,Twitter,keywords,Niets,
77,47606,@miesje75 @ministerVWS @DennisWiersma En voor leraren?,2022-05-23,25893425,sandrarewinkel1,,Twitter,random,Niets,
78,47607,"Bigpharma toestemming gevraagd heeft in 2017, 2018, en 2019 voor het toelaten van vaccijns ( wat geen vaccijns waren, maar expirimentele injecties) op de markt ter bestrijding van covid 19, terwijl daar pas sprake van was in december 2019.... DAT IS TOCH TEN ENE MALE ONZINNIG. DAT KAN TOCH NIET. DAT KAN ALLEEN GEBEUREN ALS JE VAN PLAN BENT  DEZE COVID 19 OP",2022-09-22,9373142,912237654,,Telegram,keywords,Niets,
79,47608,"aar een waslijst op, allemaal ILLIGAAL is, want er mag ONDEMOCRATISCH volgens de grondwet NEVER een kabinet worden gevormd. Tevens heeft Bernhard als lijfwacht van Hitler, via OPERATION PAPERCLIP, zo'n 16.000 nazi kopstukken helpen vluchten naar Argentinië, Brazilië en Amerika. Je raadt het al, dat de familie van Bernhard dus in Argentinië zat en Bernhard da",2022-05-08,7340445,1410486407,,Telegram,random,Dehumaniserend,
80,47609,"@TommyBieringa @fvdemocratie fictieve winstbelasting op je spaargeld , de zgn stijging van je vermogen door de huizenprijsstijging , leuk als je eindelijk afgelost hebt",2021-06-11,8056449,MarinaRassin,,Twitter,random,Niets,
81,47610,"op de wereld( (en dat is niet de NWO) voor China te begeleiden. Dit, omdat de cabal met zijn hele reutemeteut in china werd gedood of verwijderd. Dus Glory is echt aan de horizon.... de nazi’s zijn gedoemd het onderspit te delven. Het zal tijd worden......Ook Nederland krijgt een beurt... Rutte !!!!!! GTB.",2022-03-05,6351645,1433490909,,Telegram,random,Dehumaniserend#Elite-complot,
82,47611,VIDEO: Nederlandse premier ontmaskerd voor liegen over het prijzen van Klaus Schwab's grote reset-overnameplan  Kamerlid Gideon van Meijeren ontmaskerde vicepremier Mark Rutte als globalist nadat hij zijn leugens over het niet kennen van Klaus Schwab onder ogen had gezien of zijn Grote Reset-overnameplan voor de toekomst had geprezen.  https://www.infowars.c,2022-01-16,5414822,1842750040,,Telegram,random,Elite-complot#Niets,
83,47613,https://www.ninefornews.nl/kamerlid-ralf-dekker-het-verhoogde-sterfteniveau-loopt-in-tijd-gelijk-op-met-de-massa-inenting/,2022-09-30,9479973,1403855568,,Telegram,random,Niets,
84,47614,Esther Ouwehand ... 👆👆👆👆👆  Esther Ouwehand is een Nederlands politica namens de Partij voor de Dieren.  Symbols will be their Downfall 😎😎😎,2022-05-17,7498390,1410486407,,Telegram,random,Niets,
85,47615,"@thierrybaudet Discriminatiepas? Tegen? Het FvD doet juist toch aan discriminatie? Iets met huidskleur, nationaliteit, een blank Europa. Dat soort dingen. Dat is toch jullie ding, discrimineren?",2021-07-15,9304959,AlexLeusden,,Twitter,random,Niets,
86,47616,@InfiniteCyclus @PieterOmtzigt Wie vind je een engerd?,2022-07-10,29199296,Flinter_M,,Twitter,random,Niets,
87,47617,nts-van-kamerleden-over.html https://t.me/smogrefugees/30 https://en.wikipedia.org/wiki/Fifth-generation_jet_fighter https://en.wikipedia.org/wiki/Terahertz_radiation https://nl.wikipedia.org/wiki/Cyberoorlog https://t.me/stop5gchemtrails/4968 https://en.wikipedia.org/wiki/Li-Fi  FvD over de globale agenda voor staatsterreur.  https://t.me/smog_refugees_chat,2021-09-26,3088133,768890602,,Telegram,random,Niets,
